#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] ne0 ne1 ne2 ne3 ne4 
16788.59 9.84e-01 1.65e-02 8.44e-18 4.96e-34 5.29e-33 
16888.37 9.90e-01 1.04e-02 2.52e-18 5.76e-33 1.72e-31 
16998.79 9.93e-01 6.76e-03 5.74e-19 4.00e-33 1.88e-31 
17146.37 9.97e-01 3.28e-03 6.18e-20 1.66e-33 7.56e-32 
17415.23 9.99e-01 1.15e-03 2.89e-21 2.21e-33 1.09e-31 
17888.12 1.00e+00 2.30e-04 2.12e-23 6.20e-34 7.52e-32 
18532.37 1.00e+00 3.29e-05 4.97e-25 2.79e-34 1.62e-31 
19260.76 1.00e+00 4.13e-06 3.27e-25 5.13e-35 4.20e-32 
20034.10 1.00e+00 6.93e-07 1.95e-25 1.35e-35 7.83e-34 
20838.00 1.00e+00 1.57e-07 1.06e-25 4.24e-36 6.70e-34 
21647.97 1.00e+00 3.45e-08 3.22e-26 1.19e-36 1.19e-36 
22447.94 1.00e+00 1.18e-08 2.77e-26 4.76e-37 4.76e-37 
23245.88 1.00e+00 3.52e-09 1.84e-26 2.63e-37 2.63e-37 
24052.47 1.00e+00 1.11e-09 1.54e-26 1.75e-37 1.75e-37 
24867.72 1.00e+00 3.83e-10 1.88e-26 1.39e-37 1.39e-37 
25698.86 1.00e+00 1.09e-10 1.69e-26 1.28e-37 1.28e-37 
26587.16 1.00e+00 2.86e-11 2.36e-26 1.41e-37 1.41e-37 
27637.54 1.00e+00 7.12e-12 7.39e-26 1.91e-37 1.91e-37 
28986.97 1.00e+00 1.32e-12 1.39e-25 3.45e-37 3.45e-37 
#TIME: 6.76 
#NVEL: 67 
#vel_mid[km/s] ne0 ne1 ne2 ne3 ne4 
440.10 1.56e-14 1.49e-06 1.04e-01 8.96e-01 8.12e-05 
999.11 3.50e-15 3.74e-07 4.60e-02 9.54e-01 2.98e-04 
1267.34 1.11e-15 1.27e-07 2.44e-02 9.75e-01 7.40e-04 
1514.05 4.30e-16 5.20e-08 1.42e-02 9.84e-01 1.78e-03 
1808.80 1.58e-16 2.14e-08 8.52e-03 9.88e-01 3.63e-03 
1919.29 7.93e-17 1.15e-08 5.93e-03 9.88e-01 6.21e-03 
2160.92 4.14e-17 6.54e-09 4.30e-03 9.86e-01 9.53e-03 
2292.92 2.17e-17 3.73e-09 3.06e-03 9.81e-01 1.57e-02 
2432.98 1.24e-17 2.34e-09 2.35e-03 9.75e-01 2.23e-02 
2581.60 1.01e-17 2.01e-09 2.14e-03 9.73e-01 2.52e-02 
2739.29 8.07e-18 1.66e-09 1.92e-03 9.69e-01 2.89e-02 
2906.62 5.90e-18 1.30e-09 1.67e-03 9.64e-01 3.44e-02 
3084.17 4.67e-18 1.12e-09 1.53e-03 9.60e-01 3.81e-02 
3272.56 3.24e-18 8.93e-10 1.35e-03 9.54e-01 4.44e-02 
3472.46 3.33e-18 9.93e-10 1.47e-03 9.61e-01 3.72e-02 
3684.57 3.28e-18 1.09e-09 1.59e-03 9.67e-01 3.14e-02 
3909.64 3.04e-18 1.16e-09 1.69e-03 9.72e-01 2.63e-02 
4148.46 3.51e-18 1.42e-09 1.94e-03 9.78e-01 2.01e-02 
4401.86 5.75e-18 2.21e-09 2.52e-03 9.84e-01 1.38e-02 
4670.75 8.43e-18 3.20e-09 3.17e-03 9.87e-01 9.81e-03 
4956.05 9.47e-18 3.91e-09 3.64e-03 9.89e-01 7.61e-03 
5258.79 1.05e-17 4.77e-09 4.24e-03 9.90e-01 5.64e-03 
5580.02 1.49e-17 7.05e-09 5.43e-03 9.91e-01 3.72e-03 
5920.87 2.37e-17 1.13e-08 7.29e-03 9.90e-01 2.27e-03 
6282.54 3.69e-17 1.81e-08 9.72e-03 9.89e-01 1.38e-03 
6666.30 7.52e-17 3.54e-08 1.45e-02 9.85e-01 6.88e-04 
7073.50 1.87e-16 8.28e-08 2.39e-02 9.76e-01 2.98e-04 
7505.58 5.38e-16 2.24e-07 4.36e-02 9.56e-01 1.07e-04 
7964.05 2.70e-15 9.62e-07 1.02e-01 8.98e-01 2.20e-05 
8450.53 2.20e-14 5.98e-06 2.83e-01 7.17e-01 3.16e-06 
8966.72 1.63e-13 3.12e-05 5.92e-01 4.08e-01 2.64e-07 
9514.44 1.52e-12 1.70e-04 9.03e-01 9.68e-02 1.44e-09 
10095.62 2.59e-11 1.17e-03 9.92e-01 7.20e-03 2.25e-12 
10712.30 1.14e-09 1.47e-02 9.85e-01 1.94e-04 5.37e-17 
11366.65 7.29e-08 2.14e-01 7.86e-01 3.09e-07 4.67e-23 
12061.10 1.81e-06 8.88e-01 1.12e-01 1.53e-10 1.09e-26 
12793.43 1.71e-05 9.99e-01 1.37e-03 2.68e-15 4.91e-28 
13528.61 1.90e-04 1.00e+00 9.76e-06 1.15e-20 8.41e-29 
14194.74 1.65e-03 9.98e-01 1.37e-07 1.99e-25 2.27e-29 
14757.77 8.11e-03 9.92e-01 5.62e-09 6.35e-29 1.17e-29 
15240.48 3.37e-02 9.66e-01 3.53e-10 1.59e-30 5.89e-30 
15646.99 1.57e-01 8.43e-01 1.74e-11 2.60e-31 1.41e-30 
15960.30 4.72e-01 5.28e-01 8.03e-13 5.65e-32 5.78e-31 
16187.41 7.80e-01 2.20e-01 3.60e-14 1.55e-32 1.69e-31 
16354.17 9.00e-01 9.97e-02 2.95e-15 5.92e-33 3.16e-32 
16484.18 8.43e-01 1.57e-01 1.41e-15 1.68e-32 2.69e-31 
16593.12 9.66e-01 3.45e-02 8.83e-17 3.64e-33 9.80e-32 
16691.99 9.80e-01 1.95e-02 1.67e-17 3.43e-33 7.26e-32 
16788.59 9.86e-01 1.44e-02 5.59e-18 3.74e-33 1.06e-30 
16888.37 9.89e-01 1.15e-02 2.82e-18 4.17e-33 1.26e-31 
16998.79 9.93e-01 6.98e-03 5.84e-19 2.83e-33 1.08e-31 
17146.37 9.97e-01 3.20e-03 6.04e-20 3.94e-33 3.26e-31 
17415.23 9.99e-01 1.21e-03 2.96e-21 1.55e-33 9.27e-32 
17888.12 1.00e+00 2.41e-04 2.25e-23 6.04e-34 1.08e-31 
18532.37 1.00e+00 3.40e-05 5.41e-25 2.64e-34 7.31e-32 
19260.76 1.00e+00 4.82e-06 4.28e-25 3.40e-35 1.85e-33 
20034.10 1.00e+00 8.24e-07 2.77e-25 1.44e-35 1.44e-35 
20838.00 1.00e+00 1.73e-07 1.09e-25 4.51e-36 4.51e-36 
21647.97 1.00e+00 4.15e-08 4.77e-26 1.27e-36 1.88e-35 
22447.94 1.00e+00 1.31e-08 2.84e-26 5.06e-37 5.06e-37 
23245.88 1.00e+00 4.08e-09 2.36e-26 2.79e-37 2.79e-37 
24052.47 1.00e+00 1.35e-09 2.08e-26 1.87e-37 1.87e-37 
24867.72 1.00e+00 4.07e-10 1.75e-26 1.47e-37 1.47e-37 
25698.86 1.00e+00 1.11e-10 1.87e-26 1.37e-37 1.37e-37 
26587.16 1.00e+00 3.08e-11 2.68e-26 1.50e-37 1.50e-37 
27637.54 1.00e+00 7.18e-12 3.98e-26 2.03e-37 2.03e-37 
28986.97 1.00e+00 1.60e-12 1.53e-25 3.66e-37 3.66e-37 
#TIME: 6.90 
#NVEL: 67 
#vel_mid[km/s] ne0 ne1 ne2 ne3 ne4 
440.10 1.62e-14 1.56e-06 1.06e-01 8.94e-01 8.08e-05 
999.11 3.52e-15 3.92e-07 4.73e-02 9.52e-01 2.65e-04 
1267.34 1.06e-15 1.27e-07 2.42e-02 9.75e-01 7.48e-04 
1514.05 4.80e-16 6.00e-08 1.57e-02 9.83e-01 1.43e-03 
1808.80 1.70e-16 2.41e-08 9.13e-03 9.88e-01 3.22e-03 
1919.29 9.43e-17 1.40e-08 6.71e-03 9.88e-01 4.90e-03 
2160.92 4.92e-17 7.94e-09 4.86e-03 9.87e-01 7.73e-03 
2292.92 2.66e-17 4.72e-09 3.57e-03 9.84e-01 1.20e-02 
2432.98 1.49e-17 2.89e-09 2.68e-03 9.79e-01 1.80e-02 
2581.60 1.23e-17 2.53e-09 2.55e-03 9.79e-01 1.83e-02 
2739.29 9.71e-18 2.11e-09 2.29e-03 9.77e-01 2.12e-02 
2906.62 7.41e-18 1.70e-09 2.01e-03 9.73e-01 2.53e-02 
3084.17 6.05e-18 1.50e-09 1.89e-03 9.71e-01 2.69e-02 
3272.56 4.40e-18 1.21e-09 1.64e-03 9.66e-01 3.22e-02 
3472.46 4.15e-18 1.28e-09 1.76e-03 9.71e-01 2.73e-02 
3684.57 4.16e-18 1.43e-09 1.92e-03 9.75e-01 2.30e-02 
3909.64 3.77e-18 1.48e-09 1.99e-03 9.78e-01 2.02e-02 
4148.46 4.44e-18 1.85e-09 2.30e-03 9.82e-01 1.54e-02 
4401.86 7.04e-18 2.80e-09 2.95e-03 9.86e-01 1.06e-02 
4670.75 1.04e-17 4.04e-09 3.65e-03 9.89e-01 7.82e-03 
4956.05 1.22e-17 5.15e-09 4.34e-03 9.90e-01 5.67e-03 
5258.79 1.30e-17 6.09e-09 4.97e-03 9.91e-01 4.30e-03 
5580.02 1.89e-17 9.05e-09 6.34e-03 9.91e-01 2.83e-03 
5920.87 3.01e-17 1.48e-08 8.69e-03 9.90e-01 1.64e-03 
6282.54 4.82e-17 2.38e-08 1.15e-02 9.87e-01 1.03e-03 
6666.30 9.94e-17 4.77e-08 1.76e-02 9.82e-01 4.89e-04 
7073.50 2.61e-16 1.16e-07 2.98e-02 9.70e-01 2.07e-04 
7505.58 7.90e-16 3.25e-07 5.49e-02 9.45e-01 7.07e-05 
7964.05 4.08e-15 1.44e-06 1.32e-01 8.68e-01 1.41e-05 
8450.53 3.15e-14 8.25e-06 3.31e-01 6.69e-01 1.92e-06 
8966.72 2.26e-13 4.16e-05 6.64e-01 3.36e-01 8.88e-08 
9514.44 2.04e-12 2.13e-04 9.29e-01 7.06e-02 6.44e-10 
10095.62 3.60e-11 1.48e-03 9.93e-01 5.11e-03 7.92e-13 
10712.30 1.62e-09 1.87e-02 9.81e-01 8.50e-05 1.34e-17 
11366.65 9.97e-08 2.61e-01 7.39e-01 5.43e-07 5.24e-23 
12061.10 2.12e-06 9.21e-01 7.88e-02 6.82e-11 9.63e-27 
12793.43 1.94e-05 9.99e-01 8.25e-04 9.84e-16 6.71e-28 
13528.61 2.15e-04 1.00e+00 7.37e-06 5.43e-21 9.99e-29 
14194.74 1.92e-03 9.98e-01 1.00e-07 8.50e-26 2.01e-29 
14757.77 9.19e-03 9.91e-01 4.34e-09 3.07e-29 9.40e-30 
15240.48 3.74e-02 9.63e-01 2.95e-10 2.05e-30 8.22e-30 
15646.99 1.68e-01 8.32e-01 1.41e-11 2.94e-31 1.81e-30 
15960.30 5.41e-01 4.59e-01 5.02e-13 3.86e-32 2.54e-31 
16187.41 8.09e-01 1.91e-01 2.13e-14 9.17e-33 1.02e-31 
16354.17 9.19e-01 8.14e-02 1.50e-15 4.44e-33 8.62e-32 
16484.18 9.50e-01 5.00e-02 3.28e-16 2.11e-33 1.56e-32 
16593.12 9.71e-01 2.92e-02 5.43e-17 2.99e-33 1.12e-31 
16691.99 9.82e-01 1.85e-02 1.30e-17 4.40e-33 1.90e-31 
16788.59 9.85e-01 1.47e-02 6.31e-18 1.04e-32 4.36e-31 
16888.37 9.90e-01 9.54e-03 1.62e-18 1.15e-33 4.99e-32 
16998.79 9.94e-01 6.28e-03 3.95e-19 2.37e-33 1.42e-31 
17146.37 9.97e-01 2.98e-03 4.44e-20 1.55e-33 6.81e-32 
17415.23 9.99e-01 1.25e-03 3.14e-21 2.63e-33 2.40e-31 
17888.12 1.00e+00 2.62e-04 2.31e-23 5.27e-34 1.30e-31 
18532.37 1.00e+00 3.89e-05 6.99e-25 2.19e-34 6.95e-32 
19260.76 1.00e+00 5.66e-06 4.69e-25 6.17e-35 5.62e-32 
20034.10 1.00e+00 7.79e-07 1.95e-25 3.84e-35 3.31e-32 
20838.00 1.00e+00 1.99e-07 1.30e-25 4.80e-36 1.06e-33 
21647.97 1.00e+00 5.62e-08 6.65e-26 1.35e-36 1.35e-36 
22447.94 1.00e+00 9.51e-09 1.23e-26 5.39e-37 6.07e-34 
23245.88 1.00e+00 5.04e-09 2.78e-26 2.97e-37 2.97e-37 
24052.47 1.00e+00 1.65e-09 2.51e-26 1.98e-37 1.98e-37 
24867.72 1.00e+00 4.43e-10 2.05e-26 1.57e-37 1.57e-37 
25698.86 1.00e+00 1.55e-10 2.89e-26 1.45e-37 1.45e-37 
26587.16 1.00e+00 3.96e-11 3.59e-26 1.60e-37 1.60e-37 
27637.54 1.00e+00 9.76e-12 6.75e-26 2.16e-37 2.16e-37 
28986.97 1.00e+00 9.23e-13 4.68e-26 3.90e-37 3.90e-37 
#TIME: 7.04 
#NVEL: 67 
#vel_mid[km/s] ne0 ne1 ne2 ne3 ne4 
440.10 1.65e-14 1.64e-06 1.09e-01 8.91e-01 6.65e-05 
999.11 3.83e-15 4.34e-07 5.08e-02 9.49e-01 2.30e-04 
1267.34 1.11e-15 1.39e-07 2.60e-02 9.73e-01 6.32e-04 
1514.05 5.00e-16 6.50e-08 1.64e-02 9.82e-01 1.30e-03 
1808.80 2.03e-16 2.93e-08 1.04e-02 9.87e-01 2.53e-03 
1919.29 1.09e-16 1.69e-08 7.57e-03 9.89e-01 3.93e-03 
2160.92 5.64e-17 9.46e-09 5.43e-03 9.88e-01 6.36e-03 
2292.92 3.29e-17 6.02e-09 4.21e-03 9.87e-01 8.91e-03 
2432.98 1.89e-17 3.80e-09 3.19e-03 9.83e-01 1.35e-02 
2581.60 1.43e-17 3.05e-09 2.85e-03 9.82e-01 1.53e-02 
2739.29 1.16e-17 2.59e-09 2.62e-03 9.81e-01 1.69e-02 
2906.62 9.23e-18 2.19e-09 2.38e-03 9.78e-01 1.93e-02 
3084.17 7.62e-18 1.96e-09 2.25e-03 9.77e-01 2.03e-02 
3272.56 5.80e-18 1.65e-09 2.03e-03 9.75e-01 2.25e-02 
3472.46 5.52e-18 1.73e-09 2.12e-03 9.78e-01 2.02e-02 
3684.57 5.26e-18 1.85e-09 2.26e-03 9.80e-01 1.73e-02 
3909.64 4.74e-18 1.91e-09 2.33e-03 9.82e-01 1.55e-02 
4148.46 5.40e-18 2.33e-09 2.69e-03 9.86e-01 1.17e-02 
4401.86 8.53e-18 3.47e-09 3.37e-03 9.88e-01 8.60e-03 
4670.75 1.34e-17 5.29e-09 4.33e-03 9.90e-01 5.78e-03 
4956.05 1.54e-17 6.72e-09 5.20e-03 9.91e-01 4.09e-03 
5258.79 1.63e-17 7.75e-09 5.75e-03 9.91e-01 3.35e-03 
5580.02 2.44e-17 1.19e-08 7.55e-03 9.90e-01 2.10e-03 
5920.87 3.73e-17 1.86e-08 9.94e-03 9.89e-01 1.32e-03 
6282.54 6.45e-17 3.22e-08 1.39e-02 9.85e-01 7.33e-04 
6666.30 1.31e-16 6.25e-08 2.06e-02 9.79e-01 3.69e-04 
7073.50 3.52e-16 1.56e-07 3.57e-02 9.64e-01 1.44e-04 
7505.58 1.16e-15 4.72e-07 6.91e-02 9.31e-01 4.25e-05 
7964.05 5.83e-15 2.00e-06 1.57e-01 8.43e-01 1.11e-05 
8450.53 4.66e-14 1.18e-05 4.02e-01 5.98e-01 1.18e-06 
8966.72 3.01e-13 5.27e-05 7.15e-01 2.85e-01 6.63e-08 
9514.44 2.71e-12 2.64e-04 9.44e-01 5.57e-02 2.13e-09 
10095.62 5.15e-11 1.89e-03 9.95e-01 3.46e-03 1.75e-13 
10712.30 2.24e-09 2.32e-02 9.77e-01 5.17e-05 2.34e-17 
11366.65 1.37e-07 3.18e-01 6.82e-01 9.63e-08 3.45e-24 
12061.10 2.48e-06 9.46e-01 5.38e-02 2.88e-11 9.48e-27 
12793.43 2.24e-05 9.98e-01 2.32e-03 1.66e-15 3.23e-27 
13528.61 2.55e-04 1.00e+00 5.10e-06 2.03e-21 8.19e-29 
14194.74 2.20e-03 9.98e-01 7.36e-08 3.65e-26 2.14e-29 
14757.77 9.83e-03 9.90e-01 3.49e-09 1.99e-29 1.36e-29 
15240.48 4.20e-02 9.58e-01 2.24e-10 1.65e-30 5.51e-30 
15646.99 1.61e-01 8.39e-01 1.25e-11 3.25e-31 1.93e-30 
15960.30 5.31e-01 4.69e-01 4.18e-13 4.83e-32 5.07e-31 
16187.41 7.69e-01 2.31e-01 2.40e-14 1.78e-32 3.57e-31 
16354.17 9.15e-01 8.51e-02 1.53e-15 8.58e-33 2.65e-31 
16484.18 9.52e-01 4.81e-02 2.51e-16 6.06e-33 3.66e-31 
16593.12 9.70e-01 3.04e-02 6.14e-17 7.45e-33 3.65e-31 
16691.99 9.80e-01 2.04e-02 1.62e-17 8.63e-33 3.12e-31 
16788.59 9.85e-01 1.48e-02 5.58e-18 4.37e-33 7.71e-32 
16888.37 9.91e-01 9.37e-03 1.60e-18 1.02e-32 1.67e-30 
16998.79 9.94e-01 6.08e-03 4.23e-19 8.02e-33 7.51e-31 
17146.37 9.97e-01 3.46e-03 7.11e-20 1.00e-32 1.20e-30 
17415.23 9.99e-01 1.46e-03 4.48e-21 2.31e-33 1.59e-31 
17888.12 1.00e+00 3.14e-04 4.58e-23 3.80e-33 1.27e-30 
18532.37 1.00e+00 3.92e-05 6.77e-25 3.07e-34 1.45e-31 
19260.76 1.00e+00 5.20e-06 4.21e-25 4.01e-35 2.01e-32 
20034.10 1.00e+00 9.40e-07 3.51e-25 1.63e-35 2.75e-33 
20838.00 1.00e+00 1.76e-07 1.03e-25 6.59e-36 5.64e-33 
21647.97 1.00e+00 5.26e-08 4.84e-26 1.43e-36 1.43e-36 
22447.94 1.00e+00 1.65e-08 5.35e-26 5.73e-37 5.73e-37 
23245.88 1.00e+00 6.78e-09 3.33e-26 3.16e-37 3.16e-37 
24052.47 1.00e+00 2.37e-09 3.29e-26 2.11e-37 2.11e-37 
24867.72 1.00e+00 7.37e-10 3.62e-26 1.67e-37 1.67e-37 
25698.86 1.00e+00 1.93e-10 2.94e-26 1.54e-37 1.54e-37 
26587.16 1.00e+00 5.26e-11 4.08e-26 1.70e-37 1.70e-37 
27637.54 1.00e+00 1.02e-11 5.58e-26 2.29e-37 2.29e-37 
28986.97 1.00e+00 1.63e-12 2.27e-25 4.14e-37 4.14e-37 
#TIME: 7.19 
#NVEL: 67 
#vel_mid[km/s] ne0 ne1 ne2 ne3 ne4 
440.10 1.73e-14 1.79e-06 1.18e-01 8.82e-01 5.11e-05 
999.11 3.66e-15 4.33e-07 5.06e-02 9.49e-01 2.19e-04 
1267.34 1.22e-15 1.57e-07 2.77e-02 9.72e-01 5.57e-04 
1514.05 5.57e-16 7.48e-08 1.79e-02 9.81e-01 1.09e-03 
1808.80 2.31e-16 3.44e-08 1.14e-02 9.86e-01 2.10e-03 
1919.29 1.28e-16 2.03e-08 8.51e-03 9.88e-01 3.20e-03 
2160.92 6.65e-17 1.15e-08 6.18e-03 9.89e-01 5.02e-03 
2292.92 3.97e-17 7.49e-09 4.83e-03 9.88e-01 7.08e-03 
2432.98 2.53e-17 5.20e-09 3.93e-03 9.87e-01 9.31e-03 
2581.60 1.73e-17 3.82e-09 3.32e-03 9.85e-01 1.17e-02 
2739.29 1.35e-17 3.16e-09 2.98e-03 9.83e-01 1.36e-02 
2906.62 1.14e-17 2.81e-09 2.81e-03 9.83e-01 1.46e-02 
3084.17 9.46e-18 2.53e-09 2.67e-03 9.82e-01 1.51e-02 
3272.56 7.25e-18 2.14e-09 2.43e-03 9.81e-01 1.67e-02 
3472.46 6.91e-18 2.25e-09 2.55e-03 9.83e-01 1.48e-02 
3684.57 6.60e-18 2.39e-09 2.70e-03 9.84e-01 1.29e-02 
3909.64 5.78e-18 2.41e-09 2.74e-03 9.86e-01 1.16e-02 
4148.46 6.40e-18 2.83e-09 3.03e-03 9.87e-01 9.73e-03 
4401.86 1.06e-17 4.41e-09 3.93e-03 9.89e-01 6.58e-03 
4670.75 1.69e-17 6.88e-09 5.16e-03 9.91e-01 4.26e-03 
4956.05 1.93e-17 8.50e-09 5.96e-03 9.91e-01 3.28e-03 
5258.79 2.13e-17 1.03e-08 6.85e-03 9.91e-01 2.48e-03 
5580.02 3.15e-17 1.58e-08 9.04e-03 9.89e-01 1.52e-03 
5920.87 4.91e-17 2.47e-08 1.18e-02 9.87e-01 9.72e-04 
6282.54 8.53e-17 4.31e-08 1.68e-02 9.83e-01 5.15e-04 
6666.30 1.82e-16 8.68e-08 2.53e-02 9.74e-01 2.63e-04 
7073.50 5.04e-16 2.20e-07 4.38e-02 9.56e-01 1.02e-04 
7505.58 1.71e-15 6.81e-07 8.57e-02 9.14e-01 3.02e-05 
7964.05 8.90e-15 2.96e-06 1.98e-01 8.02e-01 5.74e-06 
8450.53 6.34e-14 1.56e-05 4.58e-01 5.42e-01 5.96e-07 
8966.72 4.18e-13 6.92e-05 7.75e-01 2.25e-01 3.02e-08 
9514.44 3.67e-12 3.31e-04 9.60e-01 3.96e-02 1.19e-10 
10095.62 7.41e-11 2.47e-03 9.95e-01 2.17e-03 5.42e-14 
10712.30 3.29e-09 3.06e-02 9.69e-01 2.16e-05 6.98e-19 
11366.65 1.81e-07 3.71e-01 6.29e-01 5.62e-08 1.03e-24 
12061.10 2.86e-06 9.52e-01 4.75e-02 1.57e-11 1.28e-26 
12793.43 2.61e-05 9.99e-01 8.90e-04 3.65e-16 4.42e-28 
13528.61 2.94e-04 1.00e+00 3.78e-06 9.47e-22 1.06e-28 
14194.74 2.46e-03 9.98e-01 5.70e-08 2.26e-26 3.28e-29 
14757.77 1.17e-02 9.88e-01 2.60e-09 1.22e-29 1.38e-29 
15240.48 4.64e-02 9.54e-01 1.64e-10 1.48e-30 6.64e-30 
15646.99 1.90e-01 8.10e-01 9.63e-12 2.94e-31 1.71e-30 
15960.30 5.71e-01 4.29e-01 3.46e-13 5.02e-32 4.68e-31 
16187.41 8.22e-01 1.78e-01 1.48e-14 1.02e-32 1.16e-31 
16354.17 9.21e-01 7.89e-02 1.15e-15 6.29e-33 1.03e-31 
16484.18 9.55e-01 4.50e-02 2.05e-16 6.87e-33 1.61e-31 
16593.12 9.67e-01 3.30e-02 7.21e-17 1.04e-32 2.55e-31 
16691.99 9.79e-01 2.06e-02 1.86e-17 1.55e-32 3.23e-31 
16788.59 9.86e-01 1.42e-02 5.22e-18 1.04e-32 4.82e-31 
16888.37 9.91e-01 8.72e-03 1.27e-18 4.93e-33 8.19e-32 
16998.79 9.93e-01 6.77e-03 4.22e-19 3.11e-33 7.14e-32 
17146.37 9.97e-01 3.22e-03 5.25e-20 2.28e-33 4.92e-32 
17415.23 9.99e-01 1.29e-03 3.26e-21 2.02e-33 1.72e-31 
17888.12 1.00e+00 2.94e-04 3.36e-23 8.26e-34 3.63e-32 
18532.37 1.00e+00 4.23e-05 8.27e-25 8.20e-34 2.34e-31 
19260.76 1.00e+00 5.55e-06 5.14e-25 2.58e-34 2.70e-31 
20034.10 1.00e+00 1.16e-06 3.75e-25 1.73e-35 1.02e-33 
20838.00 1.00e+00 2.99e-07 2.53e-25 5.43e-36 9.67e-35 
21647.97 1.00e+00 5.87e-08 6.79e-26 1.52e-36 1.06e-35 
22447.94 1.00e+00 1.75e-08 3.64e-26 6.09e-37 6.09e-37 
23245.88 1.00e+00 5.87e-09 2.47e-26 3.36e-37 3.36e-37 
24052.47 1.00e+00 1.89e-09 1.97e-26 2.24e-37 2.24e-37 
24867.72 1.00e+00 6.15e-10 2.01e-26 1.77e-37 1.77e-37 
25698.86 1.00e+00 2.01e-10 2.81e-26 1.64e-37 1.64e-37 
26587.16 1.00e+00 4.84e-11 3.20e-26 1.81e-37 1.81e-37 
27637.54 1.00e+00 1.20e-11 5.67e-26 2.44e-37 2.44e-37 
28986.97 1.00e+00 2.38e-12 1.97e-25 4.41e-37 4.41e-37 
#TIME: 7.34 
#NVEL: 67 
#vel_mid[km/s] ne0 ne1 ne2 ne3 ne4 
440.10 1.69e-14 1.80e-06 1.17e-01 8.83e-01 5.55e-05 
999.11 3.73e-15 4.58e-07 5.30e-02 9.47e-01 1.99e-04 
1267.34 1.38e-15 1.82e-07 3.10e-02 9.69e-01 4.33e-04 
1514.05 6.21e-16 8.58e-08 1.96e-02 9.79e-01 8.96e-04 
1808.80 2.72e-16 4.18e-08 1.30e-02 9.85e-01 1.64e-03 
1919.29 1.51e-16 2.48e-08 9.61e-03 9.88e-01 2.56e-03 
2160.92 7.80e-17 1.39e-08 6.93e-03 9.89e-01 4.10e-03 
2292.92 4.80e-17 9.35e-09 5.55e-03 9.89e-01 5.54e-03 
2432.98 3.10e-17 6.53e-09 4.55e-03 9.88e-01 7.22e-03 
2581.60 2.09e-17 4.77e-09 3.82e-03 9.87e-01 9.27e-03 
2739.29 1.69e-17 4.06e-09 3.50e-03 9.86e-01 1.04e-02 
2906.62 1.43e-17 3.61e-09 3.29e-03 9.86e-01 1.12e-02 
3084.17 1.14e-17 3.13e-09 3.06e-03 9.85e-01 1.20e-02 
3272.56 9.16e-18 2.80e-09 2.89e-03 9.85e-01 1.25e-02 
3472.46 8.57e-18 2.87e-09 2.98e-03 9.86e-01 1.15e-02 
3684.57 8.15e-18 3.03e-09 3.11e-03 9.87e-01 1.02e-02 
3909.64 7.05e-18 3.01e-09 3.13e-03 9.87e-01 9.43e-03 
4148.46 8.19e-18 3.69e-09 3.58e-03 9.89e-01 7.32e-03 
4401.86 1.36e-17 5.78e-09 4.66e-03 9.90e-01 4.91e-03 
4670.75 2.09e-17 8.71e-09 5.96e-03 9.91e-01 3.34e-03 
4956.05 2.47e-17 1.11e-08 7.05e-03 9.90e-01 2.46e-03 
5258.79 2.74e-17 1.36e-08 8.21e-03 9.90e-01 1.78e-03 
5580.02 4.02e-17 2.03e-08 1.05e-02 9.88e-01 1.18e-03 
5920.87 6.54e-17 3.32e-08 1.43e-02 9.85e-01 6.81e-04 
6282.54 1.12e-16 5.67e-08 1.97e-02 9.80e-01 3.88e-04 
6666.30 2.54e-16 1.22e-07 3.14e-02 9.68e-01 1.72e-04 
7073.50 7.33e-16 3.19e-07 5.51e-02 9.45e-01 6.69e-05 
7505.58 2.58e-15 1.01e-06 1.10e-01 8.90e-01 1.87e-05 
7964.05 1.33e-14 4.33e-06 2.47e-01 7.53e-01 3.64e-06 
8450.53 8.92e-14 2.09e-05 5.15e-01 4.85e-01 3.22e-07 
8966.72 5.65e-13 8.86e-05 8.22e-01 1.77e-01 8.94e-09 
