#NTIMES: 200
#NSTAGES: 10
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] cr0 cr1 cr2 cr3 cr4 cr5 cr6 cr7 cr8 cr9
4.2577e+02 4.0638e-44 1.0541e-33 1.0151e-24 7.4907e-17 4.9205e-10 5.5913e-05 3.3809e-01 6.4756e-01 1.4300e-02 2.3531e-07
8.5779e+02 3.0519e-32 9.7544e-24 1.1764e-16 1.0873e-10 8.9454e-06 1.2731e-02 9.6413e-01 2.3128e-02 6.3969e-06 1.3184e-12
8.7843e+02 3.0469e-32 9.7404e-24 1.1750e-16 1.0862e-10 8.9390e-06 1.2726e-02 9.6412e-01 2.3141e-02 6.4040e-06 1.3207e-12
9.1772e+02 3.0335e-32 9.6990e-24 1.1704e-16 1.0823e-10 8.9129e-06 1.2705e-02 9.6407e-01 2.3210e-02 6.4458e-06 1.3345e-12
9.7304e+02 2.9504e-32 9.4544e-24 1.1442e-16 1.0612e-10 8.7781e-06 1.2598e-02 9.6385e-01 2.3534e-02 6.6416e-06 1.3998e-12
1.0350e+03 2.7477e-32 8.8465e-24 1.0780e-16 1.0067e-10 8.4214e-06 1.2309e-02 9.6320e-01 2.4476e-02 7.2313e-06 1.6040e-12
1.1000e+03 2.2283e-32 7.2804e-24 9.0571e-17 8.6349e-11 7.4662e-06 1.1508e-02 9.6109e-01 2.7385e-02 9.2249e-06 2.3680e-12
1.1690e+03 1.2732e-32 4.3255e-24 5.6868e-17 5.7300e-11 5.4085e-06 9.6025e-03 9.5353e-01 3.6846e-02 1.7597e-05 6.6631e-12
1.2425e+03 3.9470e-33 1.4419e-24 2.1154e-17 2.3798e-11 2.6852e-06 6.4327e-03 9.2432e-01 6.9174e-02 7.0599e-05 6.2370e-11
1.3205e+03 6.4135e-34 2.5597e-25 4.3735e-18 5.7498e-12 8.3920e-07 3.1976e-03 8.1922e-01 1.7697e-01 6.1361e-04 2.1283e-09
1.4033e+03 6.2077e-35 2.7363e-26 5.5905e-19 8.8772e-13 1.7287e-07 1.1318e-03 5.6876e-01 4.2396e-01 6.1478e-03 1.0561e-07
1.4915e+03 4.9867e-36 2.4304e-27 5.9218e-20 1.1405e-13 2.8916e-08 3.1229e-04 2.9173e-01 6.7207e-01 3.5890e-02 2.6431e-06
1.5852e+03 3.7026e-37 2.0061e-28 5.8169e-21 1.3627e-14 4.4033e-09 7.4647e-05 1.2143e-01 7.5251e-01 1.2595e-01 3.3107e-05
