#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] mg0 mg1 mg2 mg3 mg4 mg5 mg6
4.2577e+02 4.1219e-28 5.3369e-19 4.7724e-11 4.5710e-05 1.2075e-01 8.7854e-01 6.6492e-04
8.5779e+02 1.2371e-19 2.0062e-12 2.2469e-06 2.6953e-02 8.9178e-01 8.1261e-02 7.7029e-07
8.7843e+02 1.2356e-19 2.0042e-12 2.2451e-06 2.6941e-02 8.9176e-01 8.1299e-02 7.7109e-07
9.1772e+02 1.2311e-19 1.9970e-12 2.2369e-06 2.6882e-02 8.9161e-01 8.1507e-02 7.7575e-07
9.7304e+02 1.2045e-19 1.9580e-12 2.1962e-06 2.6593e-02 8.9091e-01 8.2490e-02 7.9765e-07
1.0350e+03 1.1375e-19 1.8572e-12 2.0876e-06 2.5804e-02 8.8887e-01 8.5319e-02 8.6311e-07
1.1000e+03 9.6161e-20 1.5915e-12 1.8021e-06 2.3644e-02 8.8243e-01 9.3926e-02 1.0814e-06
1.1690e+03 6.1161e-20 1.0496e-12 1.2119e-06 1.8632e-02 8.6073e-01 1.2064e-01 1.9594e-06
1.2425e+03 2.2967e-20 4.2117e-13 5.0101e-07 1.0789e-02 7.8858e-01 2.0062e-01 6.8882e-06
1.3205e+03 4.5414e-21 9.0030e-14 1.0916e-07 3.9670e-03 5.9968e-01 3.9631e-01 4.5402e-05
1.4033e+03 5.2436e-22 1.1336e-14 1.4052e-08 9.3530e-04 3.3051e-01 6.6824e-01 3.1358e-04
1.4915e+03 5.5699e-23 1.3160e-15 1.6941e-09 1.9555e-04 1.5059e-01 8.4777e-01 1.4389e-03
1.5852e+03 6.5092e-24 1.6925e-16 2.3150e-10 4.3424e-05 6.6767e-02 9.2832e-01 4.8665e-03
1.6847e+03 7.0999e-25 2.0569e-17 3.0659e-11 9.2410e-06 2.8189e-02 9.5663e-01 1.5169e-02
1.7904e+03 6.7959e-26 2.2458e-18 3.7956e-12 1.8408e-06 1.1278e-02 9.4332e-01 4.5400e-02
1.9028e+03 5.7061e-27 2.2099e-19 4.4384e-13 3.4417e-07 4.2446e-03 8.7064e-01 1.2511e-01
2.0223e+03 4.3403e-28 1.9643e-20 4.7858e-14 5.7593e-08 1.4138e-03 7.0244e-01 2.9614e-01
2.1493e+03 2.7775e-29 1.4675e-21 4.4482e-15 8.0256e-09 3.8537e-04 4.5413e-01 5.4549e-01
2.2843e+03 1.8801e-30 1.1348e-22 4.2756e-16 1.0808e-09 9.4861e-05 2.4420e-01 7.5571e-01
2.4277e+03 1.8817e-31 1.2729e-23 5.8577e-17 1.9174e-10 2.7319e-05 1.3171e-01 8.6826e-01
2.5802e+03 3.8187e-32 2.8295e-24 1.5184e-17 5.9149e-11 1.1635e-05 8.4799e-02 9.1519e-01
2.7422e+03 2.0750e-32 1.6359e-24 9.4839e-18 4.0024e-11 8.8273e-06 7.3647e-02 9.2634e-01
2.9144e+03 3.7713e-32 3.0479e-24 1.7309e-17 7.0784e-11 1.3622e-05 9.3065e-02 9.0692e-01
3.0973e+03 2.8408e-31 2.2676e-23 1.1450e-16 3.9259e-10 4.8491e-05 1.7991e-01 8.2004e-01
3.2918e+03 9.6201e-30 7.5303e-22 3.2532e-15 7.5968e-09 4.0625e-04 4.7909e-01 5.2051e-01
3.4986e+03 1.0148e-27 6.7503e-20 2.3030e-13 2.5462e-07 3.8838e-03 8.7385e-01 1.2226e-01
