#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] c0 c1 c2 c3 c4 
440.10 2.22e-15 1.45e-08 2.63e-03 7.74e-01 2.23e-01 
999.11 2.54e-17 2.30e-10 1.08e-04 2.02e-01 7.98e-01 
1267.34 2.78e-19 3.03e-12 3.09e-06 2.73e-02 9.73e-01 
1514.05 1.30e-20 1.57e-13 2.57e-07 6.33e-03 9.94e-01 
1808.80 7.96e-22 1.12e-14 2.93e-08 1.77e-03 9.98e-01 
1919.29 1.01e-22 1.56e-15 5.85e-09 6.81e-04 9.99e-01 
2160.92 1.64e-23 2.58e-16 1.35e-09 2.74e-04 1.00e+00 
2292.92 2.76e-24 4.97e-17 3.82e-10 1.30e-04 1.00e+00 
2432.98 1.30e-24 2.44e-17 2.13e-10 9.19e-05 1.00e+00 
2581.60 8.75e-25 1.68e-17 1.57e-10 7.63e-05 1.00e+00 
2739.29 5.59e-25 1.11e-17 1.12e-10 6.28e-05 1.00e+00 
2906.62 4.06e-25 8.38e-18 9.08e-11 5.55e-05 1.00e+00 
3084.17 3.29e-25 7.21e-18 8.33e-11 5.33e-05 1.00e+00 
3272.56 2.28e-25 5.55e-18 7.24e-11 5.02e-05 1.00e+00 
3472.46 1.90e-25 5.09e-18 7.26e-11 5.16e-05 1.00e+00 
3684.57 1.69e-25 5.04e-18 7.87e-11 5.60e-05 1.00e+00 
3909.64 1.32e-25 4.58e-18 8.17e-11 6.03e-05 1.00e+00 
4148.46 1.46e-25 5.47e-18 1.02e-10 7.08e-05 1.00e+00 
4401.86 2.20e-25 8.08e-18 1.42e-10 8.66e-05 1.00e+00 
4670.75 3.25e-25 1.20e-17 2.00e-10 1.06e-04 1.00e+00 
4956.05 3.34e-25 1.33e-17 2.30e-10 1.17e-04 1.00e+00 
5258.79 2.76e-25 1.23e-17 2.30e-10 1.20e-04 1.00e+00 
5580.02 2.94e-25 1.42e-17 2.72e-10 1.34e-04 1.00e+00 
5920.87 3.67e-25 1.85e-17 3.52e-10 1.57e-04 1.00e+00 
6282.54 4.19e-25 2.27e-17 4.41e-10 1.83e-04 1.00e+00 
6666.30 6.70e-25 3.75e-17 6.91e-10 2.41e-04 1.00e+00 
7073.50 1.08e-24 6.41e-17 1.14e-09 3.29e-04 1.00e+00 
7505.58 1.97e-24 1.23e-16 2.07e-09 4.88e-04 1.00e+00 
7964.05 4.86e-24 3.22e-16 4.89e-09 8.44e-04 9.99e-01 
8450.53 2.15e-23 1.45e-15 1.78e-08 1.85e-03 9.98e-01 
8966.72 1.26e-22 8.65e-15 8.22e-08 4.62e-03 9.95e-01 
9514.44 1.68e-21 1.15e-13 7.31e-07 1.72e-02 9.83e-01 
