#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 2.0186 2.0562 2.0945 2.1335 2.1732 2.2136 2.2548 2.2968 2.3396 2.3831 2.4275 2.4727 2.5187 2.5656 2.6134 2.6620 2.7116 2.7620 2.8134 2.8658 2.9192 2.9735 3.0289 3.0853 3.1427 3.2012 3.2608 3.3215 3.3833 3.4463 3.5104 3.5758 3.6424 3.7102 3.7792 3.8496 3.9212 3.9942 4.0686 4.1443 4.2215 4.3001 4.3801 4.4617 4.5447 4.6293 4.7155 4.8033 4.8927 4.9838 5.0765 5.1711 5.2673 5.3654 5.4652 5.5670 5.6706 5.7762 5.8837 5.9932 6.1048 6.2184 6.3342 6.4521 6.5722 6.6946 6.8192 6.9461 7.0754 7.2072 7.3413 7.4780 7.6172 7.7590 7.9034 8.0506 8.2004 8.3531 8.5086 8.6670 8.8283 8.9927 9.1601 9.3306 9.5043 9.6812 9.8614 10.0450 10.2320 10.4225 10.6165 10.8141 11.0154 11.2205 11.4294 11.6421 11.8588 12.0796 12.3045 12.5335 12.7668 13.0045 13.2466 13.4932 13.7444 14.0002 14.2608 14.5263 14.7967 15.0722 15.3528 15.6386 15.9297 16.2262 16.5283 16.8360 17.1494 17.4686 17.7938 18.1251 18.4625 18.8062 19.1562 19.5128 19.8761 20.2461 20.6230 21.0069 21.3979 21.7963 22.2020 22.6153 23.0363 23.4652 23.9020 24.3469 24.8002 25.2618 25.7321 26.2111 26.6990 27.1961 27.7023 28.2180 28.7433 29.2784 29.8234 30.3786 30.9441 31.5202 32.1069 32.7046 33.3134 33.9336 34.5653 35.2087 35.8641 36.5318 37.2118 37.9045 38.6102 39.3289 40.0610 40.8068 41.5664 42.3402 43.1284 43.9313 44.7491 45.5821 46.4306 47.2950 48.1754 49.0722 49.9857 50.9162 51.8640 52.8295 53.8130 54.8147 55.8351 56.8745 57.9333 59.0118 60.1103 61.2293 62.3691 63.5301 64.7128 65.9174 67.1445 68.3945 69.6677 70.9646 72.2856 73.6312 75.0019 76.3981 77.8203 79.2690
#
#TIME: 2.0186
#NVEL: 202
#vel_mid[km/s] o0 o1 o2 o3 o4 o5 o6
8.7500e+01 3.2166e-37 6.8584e-29 2.8871e-21 2.4275e-14 1.5911e-08 6.3060e-04 9.9937e-01
2.7500e+02 1.1428e-37 3.0839e-29 1.6346e-21 1.6723e-14 1.2918e-08 5.7844e-04 9.9942e-01
4.7500e+02 1.1366e-37 3.2994e-29 1.8707e-21 1.9680e-14 1.5069e-08 6.3752e-04 9.9936e-01
6.7500e+02 1.4374e-37 4.3280e-29 2.5303e-21 2.6326e-14 1.9184e-08 7.3461e-04 9.9927e-01
8.7500e+02 1.9991e-37 6.1618e-29 3.6653e-21 3.7148e-14 2.5342e-08 8.6274e-04 9.9914e-01
1.0750e+03 2.9884e-37 9.3536e-29 5.6146e-21 5.4830e-14 3.4569e-08 1.0306e-03 9.9897e-01
1.2750e+03 4.7945e-37 1.5139e-28 9.1062e-21 8.4809e-14 4.8788e-08 1.2537e-03 9.9875e-01
1.4750e+03 8.3300e-37 2.6357e-28 1.5771e-20 1.3849e-13 7.1647e-08 1.5580e-03 9.9844e-01
1.6750e+03 1.6292e-36 5.1178e-28 3.0154e-20 2.4556e-13 1.1181e-07 2.0010e-03 9.9800e-01
1.8750e+03 3.7185e-36 1.1464e-27 6.5662e-20 4.8529e-13 1.8905e-07 2.6843e-03 9.9732e-01
2.0750e+03 1.0403e-35 3.1022e-27 1.6986e-19 1.1075e-12 3.5564e-07 3.8151e-03 9.9618e-01
2.2750e+03 3.8519e-35 1.0900e-26 5.5798e-19 3.0867e-12 7.7597e-07 5.8764e-03 9.9412e-01
2.4750e+03 2.0283e-34 5.3250e-26 2.4792e-18 1.1078e-11 2.0428e-06 1.0019e-02 9.8998e-01
2.6750e+03 1.6824e-33 3.9913e-25 1.6332e-17 5.5315e-11 6.8728e-06 1.9484e-02 9.8051e-01
2.8750e+03 2.4754e-32 5.1573e-24 1.7789e-16 4.2095e-10 3.1590e-05 4.4634e-02 9.5533e-01
3.0750e+03 7.5320e-31 1.3349e-22 3.6737e-15 5.4484e-09 2.1336e-04 1.2296e-01 8.7682e-01
3.2750e+03 5.5107e-29 7.9697e-21 1.6101e-13 1.2783e-07 2.1182e-03 3.7339e-01 6.2449e-01
3.4750e+03 9.9005e-27 1.0902e-18 1.3932e-11 4.5926e-06 2.3151e-02 7.9590e-01 1.8095e-01
3.6750e+03 5.9902e-24 4.5635e-16 2.8628e-09 2.5974e-04 2.3418e-01 7.5594e-01 9.6155e-03
3.8750e+03 1.2827e-20 5.9926e-13 1.1777e-06 1.4364e-02 9.1132e-01 7.4306e-02 1.0627e-05
4.0750e+03 3.3923e-16 7.8156e-09 1.8302e-03 6.3284e-01 3.6529e-01 3.9029e-05 1.6630e-12
4.2750e+03 5.2750e-10 1.5094e-03 9.7636e-01 2.2135e-02 3.6825e-08 3.5528e-20 2.3503e-37
