#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] al0 al1 al2 al3 al4 
17888.12 1.19e-07 9.78e-01 2.15e-02 5.98e-12 1.65e-35 
18532.37 1.61e-07 9.96e-01 4.35e-03 9.06e-14 1.43e-35 
19260.76 1.93e-07 9.99e-01 9.24e-04 1.63e-15 3.81e-36 
20034.10 2.03e-07 1.00e+00 2.35e-04 3.88e-17 2.44e-36 
20838.00 2.29e-07 1.00e+00 5.83e-05 1.06e-18 1.06e-36 
21647.97 2.18e-07 1.00e+00 2.47e-05 6.52e-20 7.55e-37 
22447.94 2.00e-07 1.00e+00 9.51e-06 4.40e-21 9.36e-37 
23245.88 2.61e-07 1.00e+00 3.61e-06 3.17e-22 1.22e-36 
24052.47 2.00e-07 1.00e+00 1.79e-06 5.02e-23 1.58e-36 
24867.72 2.23e-07 1.00e+00 6.49e-07 2.50e-24 2.06e-36 
25698.86 2.89e-07 1.00e+00 2.56e-07 2.43e-25 2.78e-36 
26587.16 6.33e-07 1.00e+00 8.75e-08 1.00e-25 4.15e-36 
27637.54 3.35e-07 1.00e+00 2.49e-08 1.96e-25 7.33e-36 
28986.97 2.83e-07 1.00e+00 6.85e-09 9.29e-25 1.75e-35 
#TIME: 7.49 
#NVEL: 67 
#vel_mid[km/s] al0 al1 al2 al3 al4 
440.10 9.69e-23 7.77e-15 4.21e-07 1.00e+00 4.69e-07 
999.11 6.93e-23 5.55e-15 3.23e-07 1.00e+00 1.89e-06 
1267.34 5.58e-23 4.30e-15 2.63e-07 1.00e+00 6.18e-06 
1514.05 4.59e-23 3.52e-15 2.22e-07 1.00e+00 2.35e-05 
1808.80 3.05e-23 2.49e-15 1.76e-07 1.00e+00 4.67e-05 
1919.29 2.46e-23 2.08e-15 1.54e-07 1.00e+00 8.47e-05 
2160.92 1.82e-23 1.62e-15 1.31e-07 1.00e+00 1.39e-04 
2292.92 1.43e-23 1.33e-15 1.16e-07 1.00e+00 2.07e-04 
2432.98 1.08e-23 1.08e-15 1.02e-07 1.00e+00 3.01e-04 
2581.60 9.05e-24 9.46e-16 9.40e-08 1.00e+00 3.76e-04 
2739.29 7.56e-24 8.26e-16 8.66e-08 1.00e+00 4.63e-04 
2906.62 6.72e-24 7.62e-16 8.26e-08 1.00e+00 4.86e-04 
3084.17 5.55e-24 6.72e-16 7.79e-08 9.99e-01 5.19e-04 
3272.56 4.31e-24 5.74e-16 7.23e-08 9.99e-01 5.13e-04 
3472.46 3.48e-24 5.10e-16 6.95e-08 1.00e+00 4.34e-04 
3684.57 2.36e-24 4.10e-16 6.37e-08 1.00e+00 3.54e-04 
3909.64 2.19e-24 4.04e-16 6.50e-08 1.00e+00 3.20e-04 
4148.46 1.98e-24 3.93e-16 6.65e-08 1.00e+00 2.04e-04 
4401.86 2.36e-24 4.62e-16 7.47e-08 1.00e+00 1.13e-04 
4670.75 2.67e-24 5.26e-16 8.28e-08 1.00e+00 7.45e-05 
4956.05 2.29e-24 4.97e-16 8.37e-08 1.00e+00 4.43e-05 
5258.79 1.78e-24 4.40e-16 8.19e-08 1.00e+00 3.09e-05 
5580.02 1.87e-24 4.84e-16 9.07e-08 1.00e+00 1.58e-05 
5920.87 1.83e-24 5.13e-16 9.88e-08 1.00e+00 8.00e-06 
6282.54 2.09e-24 6.10e-16 1.15e-07 1.00e+00 3.43e-06 
6666.30 2.56e-24 7.71e-16 1.40e-07 1.00e+00 1.28e-06 
7073.50 3.52e-24 1.08e-15 1.82e-07 1.00e+00 3.47e-07 
7505.58 4.67e-24 1.53e-15 2.43e-07 1.00e+00 7.38e-08 
7964.05 8.01e-24 2.70e-15 3.71e-07 1.00e+00 9.56e-09 
8450.53 1.67e-23 5.73e-15 6.40e-07 1.00e+00 7.32e-10 
8966.72 4.16e-23 1.45e-14 1.22e-06 1.00e+00 3.89e-11 
9514.44 1.53e-22 5.45e-14 3.04e-06 1.00e+00 6.25e-13 
10095.62 1.32e-21 4.54e-13 1.22e-05 1.00e+00 1.38e-15 
10712.30 1.91e-20 6.46e-12 6.79e-05 1.00e+00 6.62e-19 
11366.65 4.86e-19 1.62e-10 5.26e-04 9.99e-01 7.46e-23 
12061.10 2.41e-17 7.82e-09 6.05e-03 9.94e-01 1.82e-27 
12793.43 2.38e-15 7.18e-07 9.78e-02 9.02e-01 4.37e-29 
13528.61 1.82e-13 4.11e-05 7.33e-01 2.67e-01 2.73e-30 
14194.74 1.81e-12 3.11e-04 9.76e-01 2.32e-02 4.23e-31 
14757.77 7.76e-12 1.11e-03 9.96e-01 2.98e-03 1.03e-31 
15240.48 4.01e-11 3.93e-03 9.96e-01 4.54e-04 1.85e-32 
15646.99 2.62e-10 1.45e-02 9.85e-01 6.85e-05 3.41e-33 
15960.30 2.08e-09 5.81e-02 9.42e-01 9.53e-06 5.44e-34 
16187.41 7.96e-09 1.47e-01 8.53e-01 1.82e-06 1.75e-34 
16354.17 1.96e-08 2.79e-01 7.21e-01 4.74e-07 1.04e-34 
16484.18 3.02e-08 3.96e-01 6.04e-01 1.78e-07 7.71e-35 
16593.12 3.30e-08 4.59e-01 5.41e-01 9.84e-08 9.08e-35 
16691.99 4.15e-08 5.56e-01 4.44e-01 3.91e-08 3.12e-35 
16788.59 4.82e-08 6.31e-01 3.69e-01 2.14e-08 9.97e-35 
16888.37 5.56e-08 7.19e-01 2.81e-01 8.46e-09 6.76e-35 
16998.79 6.63e-08 7.90e-01 2.10e-01 3.37e-09 3.63e-35 
17146.37 7.64e-08 8.60e-01 1.40e-01 1.03e-09 4.41e-35 
17415.23 9.16e-08 9.29e-01 7.06e-02 1.38e-10 3.78e-35 
17888.12 1.12e-07 9.77e-01 2.29e-02 6.85e-12 3.64e-35 
18532.37 1.55e-07 9.95e-01 4.55e-03 1.05e-13 4.40e-36 
19260.76 1.99e-07 9.99e-01 9.28e-04 1.65e-15 4.91e-37 
20034.10 2.01e-07 1.00e+00 2.69e-04 4.33e-17 5.85e-37 
20838.00 2.13e-07 1.00e+00 8.01e-05 1.59e-18 8.29e-36 
21647.97 1.98e-07 1.00e+00 2.51e-05 8.39e-20 8.03e-37 
22447.94 1.86e-07 1.00e+00 1.05e-05 4.67e-21 9.96e-37 
23245.88 1.35e-07 1.00e+00 4.36e-06 4.72e-22 1.29e-36 
24052.47 1.54e-07 1.00e+00 1.85e-06 3.57e-23 1.68e-36 
24867.72 2.05e-07 1.00e+00 7.45e-07 3.45e-24 2.19e-36 
25698.86 2.52e-07 1.00e+00 2.75e-07 2.17e-25 2.96e-36 
26587.16 4.25e-07 1.00e+00 1.03e-07 1.39e-25 4.41e-36 
27637.54 5.62e-07 1.00e+00 2.91e-08 2.82e-25 7.80e-36 
28986.97 2.55e-07 1.00e+00 8.30e-09 1.02e-24 1.86e-35 
#TIME: 7.64 
#NVEL: 67 
#vel_mid[km/s] al0 al1 al2 al3 al4 
440.10 9.53e-23 7.72e-15 4.29e-07 1.00e+00 4.18e-07 
999.11 6.79e-23 5.54e-15 3.27e-07 1.00e+00 1.67e-06 
1267.34 5.39e-23 4.36e-15 2.70e-07 1.00e+00 4.72e-06 
1514.05 4.51e-23 3.56e-15 2.28e-07 1.00e+00 1.95e-05 
1808.80 3.16e-23 2.62e-15 1.85e-07 1.00e+00 3.94e-05 
1919.29 2.39e-23 2.07e-15 1.58e-07 1.00e+00 5.93e-05 
2160.92 1.80e-23 1.65e-15 1.36e-07 1.00e+00 9.91e-05 
2292.92 1.39e-23 1.35e-15 1.19e-07 1.00e+00 1.55e-04 
2432.98 1.04e-23 1.09e-15 1.05e-07 1.00e+00 1.83e-04 
2581.60 9.05e-24 9.79e-16 9.84e-08 1.00e+00 2.63e-04 
2739.29 7.16e-24 8.25e-16 8.91e-08 1.00e+00 3.16e-04 
2906.62 6.29e-24 7.51e-16 8.47e-08 1.00e+00 3.54e-04 
3084.17 5.23e-24 6.71e-16 8.02e-08 1.00e+00 3.36e-04 
3272.56 4.17e-24 5.81e-16 7.51e-08 1.00e+00 3.73e-04 
3472.46 3.33e-24 5.16e-16 7.20e-08 1.00e+00 3.06e-04 
3684.57 2.71e-24 4.64e-16 6.95e-08 1.00e+00 2.93e-04 
3909.64 2.16e-24 4.14e-16 6.80e-08 1.00e+00 1.84e-04 
4148.46 1.82e-24 3.87e-16 6.80e-08 1.00e+00 1.29e-04 
4401.86 2.39e-24 4.85e-16 7.91e-08 1.00e+00 7.51e-05 
4670.75 2.77e-24 5.58e-16 8.82e-08 1.00e+00 4.57e-05 
4956.05 2.19e-24 5.02e-16 8.72e-08 1.00e+00 2.97e-05 
5258.79 1.85e-24 4.69e-16 8.78e-08 1.00e+00 1.96e-05 
5580.02 1.79e-24 4.92e-16 9.48e-08 1.00e+00 1.02e-05 
5920.87 1.93e-24 5.56e-16 1.07e-07 1.00e+00 5.08e-06 
6282.54 2.03e-24 6.28e-16 1.21e-07 1.00e+00 5.37e-06 
6666.30 2.73e-24 8.47e-16 1.52e-07 1.00e+00 7.72e-07 
7073.50 3.86e-24 1.22e-15 2.01e-07 1.00e+00 2.01e-07 
7505.58 5.23e-24 1.75e-15 2.70e-07 1.00e+00 4.20e-08 
7964.05 8.17e-24 2.92e-15 4.02e-07 1.00e+00 5.40e-09 
8450.53 1.81e-23 6.48e-15 7.09e-07 1.00e+00 4.04e-10 
8966.72 4.48e-23 1.64e-14 1.36e-06 1.00e+00 2.00e-11 
9514.44 1.74e-22 6.49e-14 3.47e-06 1.00e+00 2.96e-13 
10095.62 1.59e-21 5.68e-13 1.43e-05 1.00e+00 5.90e-16 
10712.30 2.36e-20 8.33e-12 8.08e-05 1.00e+00 2.68e-19 
11366.65 6.20e-19 2.13e-10 6.31e-04 9.99e-01 2.82e-23 
12061.10 3.16e-17 1.06e-08 7.37e-03 9.93e-01 1.35e-27 
12793.43 3.11e-15 9.63e-07 1.17e-01 8.83e-01 4.41e-29 
13528.61 2.13e-13 4.88e-05 7.72e-01 2.28e-01 2.74e-30 
14194.74 1.99e-12 3.47e-04 9.81e-01 1.88e-02 3.90e-31 
14757.77 8.40e-12 1.23e-03 9.96e-01 2.49e-03 1.06e-31 
15240.48 4.16e-11 4.22e-03 9.95e-01 3.94e-04 2.18e-32 
15646.99 2.77e-10 1.60e-02 9.84e-01 6.05e-05 3.69e-33 
15960.30 2.17e-09 6.14e-02 9.39e-01 8.04e-06 5.12e-34 
16187.41 7.89e-09 1.51e-01 8.49e-01 1.72e-06 2.24e-34 
16354.17 1.95e-08 2.90e-01 7.10e-01 4.13e-07 9.45e-35 
16484.18 2.81e-08 3.91e-01 6.09e-01 1.71e-07 1.10e-34 
16593.12 3.64e-08 4.99e-01 5.01e-01 6.93e-08 8.17e-35 
16691.99 3.94e-08 5.47e-01 4.53e-01 4.11e-08 7.43e-35 
16788.59 4.55e-08 6.19e-01 3.81e-01 2.14e-08 6.58e-35 
16888.37 4.89e-08 6.78e-01 3.22e-01 1.12e-08 6.45e-35 
16998.79 6.18e-08 7.85e-01 2.15e-01 3.55e-09 1.04e-34 
17146.37 7.04e-08 8.36e-01 1.64e-01 1.50e-09 1.17e-34 
17415.23 8.39e-08 9.22e-01 7.82e-02 1.79e-10 2.82e-35 
17888.12 1.10e-07 9.77e-01 2.32e-02 6.52e-12 3.50e-35 
18532.37 1.44e-07 9.95e-01 5.24e-03 1.28e-13 5.87e-36 
19260.76 1.79e-07 9.99e-01 1.08e-03 2.20e-15 5.22e-37 
20034.10 2.03e-07 1.00e+00 2.49e-04 4.11e-17 6.22e-37 
20838.00 1.97e-07 1.00e+00 8.49e-05 1.83e-18 7.52e-37 
21647.97 2.31e-07 1.00e+00 2.21e-05 7.10e-20 2.97e-36 
22447.94 2.94e-07 1.00e+00 7.32e-06 2.73e-21 4.31e-36 
23245.88 1.29e-07 1.00e+00 5.46e-06 8.23e-22 1.37e-36 
24052.47 1.29e-07 1.00e+00 2.37e-06 5.71e-23 1.79e-36 
24867.72 1.99e-07 1.00e+00 8.28e-07 3.17e-24 2.32e-36 
25698.86 1.68e-07 1.00e+00 3.18e-07 4.19e-25 3.15e-36 
26587.16 1.93e-07 1.00e+00 1.26e-07 1.69e-25 4.69e-36 
27637.54 1.66e-07 1.00e+00 4.02e-08 4.02e-25 8.29e-36 
28986.97 2.77e-07 1.00e+00 8.44e-09 9.41e-25 1.98e-35 
#TIME: 7.80 
#NVEL: 67 
#vel_mid[km/s] al0 al1 al2 al3 al4 
440.10 9.79e-23 8.17e-15 4.51e-07 1.00e+00 3.08e-07 
999.11 6.11e-23 5.26e-15 3.25e-07 1.00e+00 1.41e-06 
1267.34 5.00e-23 4.24e-15 2.71e-07 1.00e+00 3.88e-06 
1514.05 4.34e-23 3.56e-15 2.33e-07 1.00e+00 9.20e-06 
1808.80 2.93e-23 2.58e-15 1.88e-07 1.00e+00 2.09e-05 
1919.29 2.36e-23 2.13e-15 1.64e-07 1.00e+00 3.68e-05 
2160.92 1.71e-23 1.65e-15 1.40e-07 1.00e+00 6.39e-05 
2292.92 1.31e-23 1.34e-15 1.22e-07 1.00e+00 1.02e-04 
2432.98 1.09e-23 1.15e-15 1.11e-07 1.00e+00 1.52e-04 
2581.60 8.55e-24 9.72e-16 1.01e-07 1.00e+00 2.02e-04 
2739.29 7.37e-24 8.68e-16 9.42e-08 1.00e+00 2.56e-04 
2906.62 6.26e-24 7.78e-16 8.89e-08 1.00e+00 2.38e-04 
3084.17 4.95e-24 6.70e-16 8.27e-08 1.00e+00 2.34e-04 
3272.56 3.92e-24 5.80e-16 7.75e-08 1.00e+00 2.48e-04 
3472.46 3.11e-24 5.09e-16 7.39e-08 1.00e+00 2.16e-04 
3684.57 2.66e-24 4.73e-16 7.23e-08 1.00e+00 1.82e-04 
3909.64 1.97e-24 4.06e-16 6.96e-08 1.00e+00 1.36e-04 
4148.46 1.86e-24 4.07e-16 7.22e-08 1.00e+00 9.07e-05 
4401.86 2.46e-24 5.13e-16 8.42e-08 1.00e+00 5.75e-05 
4670.75 2.60e-24 5.60e-16 9.14e-08 1.00e+00 3.52e-05 
4956.05 2.32e-24 5.45e-16 9.41e-08 1.00e+00 1.93e-05 
5258.79 1.86e-24 4.94e-16 9.33e-08 1.00e+00 1.26e-05 
5580.02 1.80e-24 5.17e-16 1.01e-07 1.00e+00 6.68e-06 
5920.87 1.99e-24 5.96e-16 1.15e-07 1.00e+00 3.19e-06 
6282.54 2.14e-24 6.83e-16 1.32e-07 1.00e+00 1.35e-06 
6666.30 2.69e-24 8.86e-16 1.62e-07 1.00e+00 4.63e-07 
7073.50 3.87e-24 1.29e-15 2.16e-07 1.00e+00 1.18e-07 
7505.58 5.13e-24 1.84e-15 2.89e-07 1.00e+00 2.41e-08 
7964.05 8.60e-24 3.22e-15 4.39e-07 1.00e+00 3.06e-09 
8450.53 2.04e-23 7.53e-15 7.96e-07 1.00e+00 2.18e-10 
8966.72 4.97e-23 1.90e-14 1.53e-06 1.00e+00 1.03e-11 
9514.44 2.04e-22 7.89e-14 4.00e-06 1.00e+00 1.40e-13 
10095.62 1.92e-21 7.17e-13 1.68e-05 1.00e+00 2.43e-16 
10712.30 2.90e-20 1.07e-11 9.60e-05 1.00e+00 1.04e-19 
11366.65 7.90e-19 2.80e-10 7.55e-04 9.99e-01 1.18e-23 
12061.10 4.11e-17 1.42e-08 8.94e-03 9.91e-01 9.77e-28 
12793.43 4.24e-15 1.35e-06 1.44e-01 8.56e-01 4.45e-29 
13528.61 2.52e-13 5.83e-05 8.08e-01 1.92e-01 2.76e-30 
14194.74 2.27e-12 4.00e-04 9.84e-01 1.53e-02 4.03e-31 
14757.77 9.44e-12 1.40e-03 9.96e-01 2.28e-03 1.26e-31 
15240.48 4.45e-11 4.60e-03 9.95e-01 3.39e-04 2.24e-32 
15646.99 2.95e-10 1.69e-02 9.83e-01 5.28e-05 3.57e-33 
15960.30 2.35e-09 6.85e-02 9.31e-01 6.76e-06 6.06e-34 
16187.41 9.09e-09 1.75e-01 8.25e-01 1.29e-06 2.23e-34 
16354.17 1.88e-08 2.94e-01 7.06e-01 3.95e-07 1.06e-34 
16484.18 2.88e-08 4.16e-01 5.84e-01 1.42e-07 8.09e-35 
16593.12 3.37e-08 4.95e-01 5.05e-01 6.60e-08 5.89e-35 
16691.99 3.98e-08 5.85e-01 4.15e-01 3.03e-08 4.30e-35 
16788.59 4.39e-08 6.38e-01 3.62e-01 1.83e-08 1.44e-34 
16888.37 5.57e-08 7.31e-01 2.69e-01 6.40e-09 2.54e-35 
16998.79 5.79e-08 7.69e-01 2.31e-01 4.17e-09 2.52e-35 
17146.37 6.64e-08 8.47e-01 1.53e-01 1.20e-09 9.13e-35 
17415.23 8.23e-08 9.24e-01 7.63e-02 1.67e-10 4.25e-35 
17888.12 1.01e-07 9.74e-01 2.60e-02 8.52e-12 1.55e-35 
18532.37 1.37e-07 9.95e-01 5.42e-03 1.33e-13 6.47e-36 
19260.76 1.68e-07 9.99e-01 1.15e-03 2.14e-15 4.13e-35 
20034.10 2.23e-07 1.00e+00 2.48e-04 3.45e-17 9.54e-36 
20838.00 1.83e-07 1.00e+00 9.27e-05 2.03e-18 7.99e-37 
21647.97 1.66e-07 1.00e+00 3.48e-05 1.36e-19 2.08e-35 
22447.94 1.53e-07 1.00e+00 1.33e-05 1.08e-20 1.13e-36 
23245.88 3.14e-07 1.00e+00 2.80e-06 3.47e-22 1.17e-35 
24052.47 1.36e-07 1.00e+00 2.59e-06 1.16e-22 1.90e-36 
24867.72 1.29e-07 1.00e+00 1.03e-06 6.57e-24 2.47e-36 
25698.86 1.31e-07 1.00e+00 3.97e-07 4.37e-25 3.35e-36 
26587.16 2.29e-07 1.00e+00 1.34e-07 1.82e-25 4.99e-36 
27637.54 1.79e-07 1.00e+00 4.04e-08 3.20e-25 8.81e-36 
28986.97 3.68e-07 1.00e+00 1.01e-08 1.26e-24 2.10e-35 
#TIME: 7.96 
#NVEL: 67 
#vel_mid[km/s] al0 al1 al2 al3 al4 
440.10 9.40e-23 8.26e-15 4.59e-07 1.00e+00 2.46e-07 
999.11 6.17e-23 5.45e-15 3.37e-07 1.00e+00 1.12e-06 
1267.34 4.63e-23 4.12e-15 2.72e-07 1.00e+00 3.18e-06 
1514.05 4.13e-23 3.55e-15 2.38e-07 1.00e+00 7.13e-06 
1808.80 2.96e-23 2.66e-15 1.96e-07 1.00e+00 1.71e-05 
1919.29 2.42e-23 2.21e-15 1.72e-07 1.00e+00 2.64e-05 
2160.92 1.71e-23 1.69e-15 1.45e-07 1.00e+00 5.63e-05 
2292.92 1.30e-23 1.37e-15 1.28e-07 1.00e+00 7.82e-05 
2432.98 9.92e-24 1.13e-15 1.13e-07 1.00e+00 9.16e-05 
2581.60 8.50e-24 1.00e-15 1.05e-07 1.00e+00 1.36e-04 
2739.29 7.31e-24 8.94e-16 9.86e-08 1.00e+00 1.68e-04 
2906.62 6.24e-24 8.05e-16 9.31e-08 1.00e+00 1.61e-04 
3084.17 5.01e-24 6.97e-16 8.71e-08 1.00e+00 1.81e-04 
3272.56 3.92e-24 6.01e-16 8.14e-08 1.00e+00 1.78e-04 
3472.46 3.19e-24 5.37e-16 7.85e-08 1.00e+00 1.38e-04 
3684.57 2.64e-24 4.88e-16 7.57e-08 1.00e+00 1.26e-04 
3909.64 1.99e-24 4.25e-16 7.35e-08 1.00e+00 1.05e-04 
4148.46 1.95e-24 4.37e-16 7.75e-08 1.00e+00 6.44e-05 
4401.86 2.26e-24 5.06e-16 8.65e-08 1.00e+00 3.40e-05 
4670.75 2.70e-24 5.97e-16 9.79e-08 1.00e+00 2.12e-05 
4956.05 2.35e-24 5.75e-16 1.00e-07 1.00e+00 1.24e-05 
5258.79 1.80e-24 5.06e-16 9.80e-08 1.00e+00 1.02e-05 
5580.02 1.95e-24 5.71e-16 1.10e-07 1.00e+00 4.20e-06 
5920.87 1.98e-24 6.25e-16 1.22e-07 1.00e+00 1.98e-06 
6282.54 2.32e-24 7.58e-16 1.44e-07 1.00e+00 8.22e-07 
6666.30 2.89e-24 9.82e-16 1.78e-07 1.00e+00 2.76e-07 
7073.50 4.11e-24 1.43e-15 2.36e-07 1.00e+00 6.88e-08 
7505.58 5.62e-24 2.08e-15 3.19e-07 1.00e+00 1.38e-08 
7964.05 9.76e-24 3.73e-15 4.93e-07 1.00e+00 1.68e-09 
8450.53 2.11e-23 8.27e-15 8.71e-07 1.00e+00 1.16e-10 
8966.72 5.70e-23 2.26e-14 1.74e-06 1.00e+00 5.06e-12 
9514.44 2.45e-22 9.84e-14 4.67e-06 1.00e+00 6.20e-14 
10095.62 2.34e-21 9.12e-13 1.99e-05 1.00e+00 1.00e-16 
10712.30 3.55e-20 1.36e-11 1.14e-04 1.00e+00 4.27e-20 
11366.65 9.81e-19 3.61e-10 8.95e-04 9.99e-01 4.62e-24 
12061.10 5.55e-17 1.98e-08 1.10e-02 9.89e-01 8.60e-28 
12793.43 5.44e-15 1.77e-06 1.70e-01 8.30e-01 4.50e-29 
13528.61 2.90e-13 6.79e-05 8.38e-01 1.62e-01 2.76e-30 
14194.74 2.40e-12 4.36e-04 9.87e-01 1.28e-02 4.27e-31 
14757.77 9.69e-12 1.48e-03 9.97e-01 1.92e-03 1.22e-31 
15240.48 4.51e-11 4.87e-03 9.95e-01 2.94e-04 2.37e-32 
15646.99 3.25e-10 1.94e-02 9.81e-01 4.17e-05 3.28e-33 
15960.30 2.33e-09 7.03e-02 9.30e-01 6.17e-06 5.95e-34 
16187.41 9.49e-09 1.86e-01 8.14e-01 1.54e-06 3.66e-34 
16354.17 1.97e-08 3.14e-01 6.86e-01 3.22e-07 1.07e-34 
16484.18 2.78e-08 4.14e-01 5.86e-01 1.37e-07 1.62e-34 
16593.12 3.28e-08 4.87e-01 5.13e-01 6.28e-07 8.85e-34 
16691.99 3.88e-08 5.84e-01 4.16e-01 2.94e-08 9.71e-35 
16788.59 4.46e-08 6.61e-01 3.39e-01 1.36e-08 6.09e-35 
16888.37 5.15e-08 7.29e-01 2.71e-01 6.63e-09 7.17e-35 
16998.79 5.89e-08 7.88e-01 2.12e-01 3.04e-09 5.20e-35 
17146.37 6.77e-08 8.53e-01 1.47e-01 1.04e-09 9.04e-35 
17415.23 7.90e-08 9.26e-01 7.44e-02 1.41e-10 3.34e-35 
17888.12 9.46e-08 9.77e-01 2.30e-02 6.35e-12 1.88e-35 
18532.37 1.31e-07 9.95e-01 5.39e-03 1.36e-13 3.23e-35 
19260.76 1.65e-07 9.99e-01 1.08e-03 2.01e-15 2.28e-36 
20034.10 1.89e-07 1.00e+00 2.65e-04 4.62e-17 7.03e-37 
20838.00 1.85e-07 1.00e+00 9.37e-05 2.47e-18 8.50e-37 
21647.97 2.27e-07 1.00e+00 2.90e-05 1.03e-19 1.81e-36 
22447.94 1.44e-07 1.00e+00 1.48e-05 1.28e-20 1.20e-36 
23245.88 1.44e-07 1.00e+00 6.28e-06 8.96e-22 1.55e-36 
24052.47 1.33e-07 1.00e+00 2.83e-06 1.23e-22 2.02e-36 
24867.72 1.08e-07 1.00e+00 1.27e-06 1.67e-23 2.63e-36 
25698.86 1.58e-07 1.00e+00 4.68e-07 6.66e-25 3.56e-36 
26587.16 1.56e-07 1.00e+00 1.71e-07 2.32e-25 5.30e-36 
27637.54 1.36e-07 1.00e+00 5.34e-08 4.66e-25 9.37e-36 
28986.97 1.86e-07 1.00e+00 1.12e-08 1.19e-24 2.24e-35 
#TIME: 8.13 
#NVEL: 67 
#vel_mid[km/s] al0 al1 al2 al3 al4 
440.10 8.75e-23 7.96e-15 4.58e-07 1.00e+00 2.16e-07 
999.11 5.67e-23 5.29e-15 3.38e-07 1.00e+00 9.17e-07 
1267.34 4.45e-23 4.11e-15 2.78e-07 1.00e+00 3.19e-06 
1514.05 4.06e-23 3.59e-15 2.45e-07 1.00e+00 1.46e-05 
1808.80 2.93e-23 2.74e-15 2.05e-07 1.00e+00 1.48e-05 
1919.29 2.30e-23 2.24e-15 1.78e-07 1.00e+00 1.85e-05 
2160.92 1.66e-23 1.72e-15 1.50e-07 1.00e+00 3.52e-05 
2292.92 1.29e-23 1.41e-15 1.33e-07 1.00e+00 4.73e-05 
2432.98 9.91e-24 1.16e-15 1.18e-07 1.00e+00 6.72e-05 
2581.60 8.40e-24 1.02e-15 1.10e-07 1.00e+00 1.00e-04 
2739.29 7.56e-24 9.47e-16 1.05e-07 1.00e+00 1.08e-04 
2906.62 6.43e-24 8.47e-16 9.86e-08 1.00e+00 1.08e-04 
3084.17 5.17e-24 7.40e-16 9.25e-08 1.00e+00 1.35e-04 
3272.56 3.98e-24 6.30e-16 8.61e-08 1.00e+00 1.13e-04 
3472.46 3.31e-24 5.72e-16 8.37e-08 1.00e+00 8.89e-05 
3684.57 2.72e-24 5.16e-16 8.05e-08 1.00e+00 9.50e-05 
3909.64 2.11e-24 4.57e-16 7.89e-08 1.00e+00 5.97e-05 
4148.46 1.77e-24 4.29e-16 7.93e-08 1.00e+00 3.80e-05 
4401.86 2.34e-24 5.39e-16 9.25e-08 1.00e+00 2.27e-05 
4670.75 2.83e-24 6.45e-16 1.05e-07 1.00e+00 1.30e-05 
4956.05 2.23e-24 5.80e-16 1.04e-07 1.00e+00 8.25e-06 
5258.79 1.89e-24 5.47e-16 1.06e-07 1.00e+00 5.51e-06 
5580.02 1.91e-24 5.93e-16 1.16e-07 1.00e+00 2.64e-06 
5920.87 2.14e-24 6.93e-16 1.34e-07 1.00e+00 1.21e-06 
6282.54 2.33e-24 8.05e-16 1.55e-07 1.00e+00 4.83e-07 
6666.30 3.10e-24 1.09e-15 1.95e-07 1.00e+00 1.62e-07 
7073.50 4.53e-24 1.61e-15 2.61e-07 1.00e+00 3.94e-08 
7505.58 6.38e-24 2.40e-15 3.58e-07 1.00e+00 7.72e-09 
7964.05 1.04e-23 4.19e-15 5.45e-07 1.00e+00 8.88e-10 
8450.53 2.35e-23 9.61e-15 9.80e-07 1.00e+00 6.08e-11 
8966.72 6.08e-23 2.56e-14 1.94e-06 1.00e+00 2.50e-12 
9514.44 2.83e-22 1.19e-13 5.39e-06 1.00e+00 2.78e-14 
10095.62 2.77e-21 1.13e-12 2.33e-05 1.00e+00 4.22e-17 
10712.30 4.45e-20 1.78e-11 1.36e-04 1.00e+00 1.70e-20 
11366.65 1.27e-18 4.81e-10 1.08e-03 9.99e-01 1.89e-24 
12061.10 7.52e-17 2.76e-08 1.37e-02 9.86e-01 8.36e-28 
12793.43 7.40e-15 2.46e-06 2.06e-01 7.94e-01 4.43e-29 
