#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 81 
#vel_mid[km/s] ni0 ni1 ni2 ni3 ni4 ni5 ni6 
23750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
24250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
24750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
25250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
25750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
26250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
26750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
27250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
27750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
28250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
28750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
29250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
29750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
30250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
30750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
31250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
31750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
32250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
32750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
33250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
33750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
34250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
34750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
35250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
35750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
36250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
36750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
37250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
37750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
38250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
38750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
39250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
39750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
40250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
#TIME: 7.04 
#NVEL: 81 
#vel_mid[km/s] ni0 ni1 ni2 ni3 ni4 ni5 ni6 
250.00 3.53e-23 5.61e-15 1.68e-07 8.55e-02 8.50e-01 6.36e-02 5.52e-04 
750.00 1.68e-23 3.13e-15 1.04e-07 6.14e-02 8.58e-01 8.01e-02 6.49e-04 
1250.00 1.09e-23 2.38e-15 8.41e-08 5.22e-02 8.66e-01 8.10e-02 4.34e-04 
1750.00 7.62e-24 1.95e-15 7.29e-08 4.62e-02 8.75e-01 7.84e-02 2.67e-04 
2250.00 6.29e-24 1.88e-15 7.31e-08 4.48e-02 8.87e-01 6.85e-02 1.30e-04 
2750.00 6.51e-24 2.25e-15 8.84e-08 4.87e-02 8.99e-01 5.21e-02 4.90e-05 
3250.00 6.61e-24 2.65e-15 1.06e-07 5.28e-02 9.07e-01 3.99e-02 1.94e-05 
3750.00 8.15e-24 3.75e-15 1.51e-07 6.38e-02 9.10e-01 2.66e-02 5.82e-06 
4250.00 1.41e-23 7.18e-15 2.81e-07 9.25e-02 8.94e-01 1.39e-02 1.18e-06 
4750.00 2.67e-23 1.51e-14 5.67e-07 1.41e-01 8.53e-01 6.53e-03 2.05e-07 
5250.00 5.93e-23 3.69e-14 1.31e-06 2.32e-01 7.66e-01 2.53e-03 2.43e-08 
5750.00 1.61e-22 1.10e-13 3.57e-06 3.97e-01 6.02e-01 6.94e-04 9.72e-10 
6250.00 3.96e-22 3.06e-13 8.73e-06 5.88e-01 4.12e-01 1.59e-04 1.44e-10 
6750.00 2.66e-23 2.88e-14 1.04e-06 9.40e-02 9.04e-01 1.63e-03 4.53e-10 
7250.00 1.74e-22 1.73e-13 5.08e-06 2.45e-01 7.55e-01 2.97e-04 6.73e-12 
7750.00 1.62e-21 1.38e-12 2.88e-05 5.79e-01 4.21e-01 2.48e-05 4.08e-14 
8250.00 1.57e-20 1.09e-11 1.37e-04 8.75e-01 1.25e-01 9.53e-07 6.97e-17 
8750.00 1.97e-19 1.06e-10 6.71e-04 9.79e-01 2.03e-02 1.20e-08 1.39e-20 
9250.00 3.28e-18 1.36e-09 3.85e-03 9.94e-01 1.75e-03 1.86e-11 8.73e-26 
9750.00 7.62e-17 2.45e-08 2.84e-02 9.71e-01 7.55e-05 1.02e-14 8.55e-32 
10250.00 3.04e-15 7.02e-07 2.62e-01 7.38e-01 1.46e-06 1.29e-18 1.50e-38 
10750.00 7.19e-14 1.06e-05 8.95e-01 1.05e-01 9.16e-10 4.56e-25 6.42e-39 
11250.00 7.53e-13 6.62e-05 9.97e-01 3.31e-03 2.08e-13 9.25e-32 1.68e-38 
11750.00 8.30e-12 3.93e-04 1.00e+00 6.49e-05 2.06e-18 6.97e-38 6.58e-38 
12250.00 7.26e-11 1.93e-03 9.98e-01 2.10e-06 2.44e-22 9.48e-37 9.18e-37 
12750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
13250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
13750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
14250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
14750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
15250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
15750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
17250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
17750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
18250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
18750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
19250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
19750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
20250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
20750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
21250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
21750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
22250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
22750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
23250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
23750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
24250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
24750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
25250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
25750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
26250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
26750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
27250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
27750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
28250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
28750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
29250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
29750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
30250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
30750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
31250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
31750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
32250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
32750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
33250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
33750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
34250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
34750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
35250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
35750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
36250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
36750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
37250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
37750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
38250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
38750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
39250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
39750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
40250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
#TIME: 7.19 
#NVEL: 81 
#vel_mid[km/s] ni0 ni1 ni2 ni3 ni4 ni5 ni6 
250.00 3.42e-23 5.71e-15 1.74e-07 8.71e-02 8.53e-01 5.90e-02 4.45e-04 
750.00 1.64e-23 3.21e-15 1.08e-07 6.25e-02 8.63e-01 7.37e-02 4.75e-04 
1250.00 1.03e-23 2.37e-15 8.55e-08 5.24e-02 8.71e-01 7.61e-02 3.29e-04 
1750.00 7.13e-24 1.93e-15 7.36e-08 4.60e-02 8.79e-01 7.43e-02 2.05e-04 
2250.00 5.90e-24 1.87e-15 7.41e-08 4.47e-02 8.90e-01 6.48e-02 9.98e-05 
2750.00 6.18e-24 2.26e-15 9.06e-08 4.89e-02 9.02e-01 4.90e-02 3.80e-05 
3250.00 6.41e-24 2.73e-15 1.11e-07 5.38e-02 9.09e-01 3.68e-02 1.42e-05 
3750.00 8.20e-24 4.00e-15 1.63e-07 6.63e-02 9.10e-01 2.39e-02 4.18e-06 
4250.00 1.47e-23 7.91e-15 3.12e-07 9.81e-02 8.90e-01 1.21e-02 8.52e-07 
4750.00 2.86e-23 1.70e-14 6.46e-07 1.52e-01 8.43e-01 5.53e-03 1.30e-07 
5250.00 6.49e-23 4.25e-14 1.52e-06 2.51e-01 7.47e-01 2.05e-03 1.38e-08 
5750.00 1.74e-22 1.27e-13 4.10e-06 4.24e-01 5.76e-01 5.48e-04 1.05e-09 
6250.00 4.25e-22 3.47e-13 9.86e-06 6.14e-01 3.86e-01 1.21e-04 1.81e-11 
6750.00 3.61e-23 3.97e-14 1.42e-06 1.14e-01 8.85e-01 1.17e-03 1.39e-10 
7250.00 2.35e-22 2.38e-13 6.84e-06 2.90e-01 7.09e-01 2.01e-04 2.88e-12 
7750.00 2.05e-21 1.77e-12 3.58e-05 6.33e-01 3.67e-01 1.56e-05 1.59e-14 
8250.00 1.95e-20 1.37e-11 1.65e-04 8.99e-01 1.01e-01 4.87e-07 1.94e-17 
8750.00 2.49e-19 1.36e-10 8.11e-04 9.84e-01 1.56e-02 5.61e-09 4.08e-21 
9250.00 4.19e-18 1.77e-09 4.71e-03 9.94e-01 1.28e-03 1.01e-11 3.70e-26 
9750.00 1.01e-16 3.30e-08 3.54e-02 9.65e-01 5.72e-05 4.91e-15 2.90e-32 
10250.00 4.01e-15 9.30e-07 3.15e-01 6.85e-01 6.81e-07 2.36e-19 3.26e-39 
10750.00 8.32e-14 1.22e-05 9.19e-01 8.06e-02 4.46e-10 1.65e-25 6.95e-39 
11250.00 8.33e-13 7.25e-05 9.97e-01 2.48e-03 6.60e-14 8.62e-33 1.81e-38 
11750.00 9.57e-12 4.44e-04 1.00e+00 4.47e-05 5.16e-19 7.52e-38 7.12e-38 
12250.00 7.98e-11 2.05e-03 9.98e-01 2.14e-06 1.25e-22 1.02e-36 9.92e-37 
12750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
13250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
13750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
14250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
14750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
15250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
15750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
17250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
17750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
18250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
18750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
19250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
19750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
20250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
20750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
21250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
21750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
22250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
22750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
23250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
23750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
24250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
24750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
25250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
25750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
26250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
26750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
27250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
27750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
28250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
28750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
29250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
29750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
30250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
30750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
31250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
31750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
32250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
32750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
33250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
33750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
34250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
34750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
35250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
35750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
36250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
36750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
37250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
37750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
38250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
38750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
39250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
39750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
40250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
#TIME: 7.34 
#NVEL: 81 
#vel_mid[km/s] ni0 ni1 ni2 ni3 ni4 ni5 ni6 
250.00 3.38e-23 5.85e-15 1.81e-07 8.84e-02 8.57e-01 5.43e-02 3.32e-04 
750.00 1.60e-23 3.28e-15 1.12e-07 6.36e-02 8.68e-01 6.79e-02 3.48e-04 
1250.00 9.81e-24 2.38e-15 8.74e-08 5.26e-02 8.76e-01 7.13e-02 2.51e-04 
1750.00 6.70e-24 1.92e-15 7.48e-08 4.60e-02 8.84e-01 7.02e-02 1.57e-04 
2250.00 5.60e-24 1.89e-15 7.58e-08 4.49e-02 8.94e-01 6.09e-02 7.68e-05 
2750.00 5.94e-24 2.31e-15 9.40e-08 4.95e-02 9.05e-01 4.57e-02 2.87e-05 
3250.00 6.32e-24 2.86e-15 1.18e-07 5.53e-02 9.11e-01 3.37e-02 1.02e-05 
3750.00 8.34e-24 4.30e-15 1.77e-07 6.94e-02 9.09e-01 2.13e-02 2.82e-06 
4250.00 1.55e-23 8.78e-15 3.50e-07 1.05e-01 8.85e-01 1.05e-02 5.00e-07 
4750.00 3.10e-23 1.95e-14 7.45e-07 1.65e-01 8.31e-01 4.61e-03 8.94e-08 
5250.00 7.13e-23 4.93e-14 1.77e-06 2.72e-01 7.26e-01 1.67e-03 7.12e-09 
5750.00 1.89e-22 1.45e-13 4.68e-06 4.50e-01 5.50e-01 4.32e-04 3.19e-10 
6250.00 4.55e-22 3.91e-13 1.11e-05 6.39e-01 3.61e-01 9.13e-05 3.02e-12 
6750.00 4.88e-23 5.47e-14 1.92e-06 1.38e-01 8.61e-01 8.44e-04 8.46e-11 
7250.00 3.15e-22 3.25e-13 9.12e-06 3.41e-01 6.58e-01 1.34e-04 1.19e-12 
7750.00 2.57e-21 2.27e-12 4.46e-05 6.82e-01 3.18e-01 1.02e-05 6.38e-15 
8250.00 2.45e-20 1.76e-11 2.01e-04 9.18e-01 8.14e-02 2.63e-07 6.18e-18 
8750.00 3.18e-19 1.76e-10 9.87e-04 9.87e-01 1.18e-02 2.52e-09 9.00e-22 
9250.00 5.53e-18 2.35e-09 5.84e-03 9.93e-01 8.73e-04 3.18e-12 2.66e-27 
9750.00 1.36e-16 4.47e-08 4.42e-02 9.56e-01 3.80e-05 1.83e-15 4.69e-33 
10250.00 5.35e-15 1.24e-06 3.77e-01 6.23e-01 3.20e-07 5.78e-20 3.53e-39 
10750.00 9.45e-14 1.38e-05 9.37e-01 6.30e-02 2.32e-10 3.73e-26 7.52e-39 
11250.00 9.24e-13 8.01e-05 9.98e-01 1.99e-03 3.95e-14 3.29e-33 1.96e-38 
11750.00 1.02e-11 4.76e-04 9.99e-01 4.94e-05 3.09e-18 8.11e-38 7.70e-38 
12250.00 9.11e-11 2.32e-03 9.98e-01 1.38e-06 4.26e-23 1.11e-36 1.07e-36 
12750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
13250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
13750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
14250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
14750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
15250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
15750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
17250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
17750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
18250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
18750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
19250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
19750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
20250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
20750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
21250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
